mileage,price
46555.0,12965.0
73000.0,12888.0
71274.0,11895.0
87509.0,10988.0
65150.0,10503.0
73368.0,9795.0
148311.0,8845.0
21100.0,18995.0
93995.0,16800.0
41805.0,15795.0
102600.0,15000.0
102000.0,15000.0
53228.0,14900.0
81930.0,14888.0
18375.0,14588.0
65008.0,14495.0
47100.0,14488.0
28310.0,14300.0
33446.0,14000.0
67453.0,13999.0
57569.0,13995.0
38084.0,13988.0
54356.0,13988.0
47446.0,13988.0
95941.0,13649.0
60469.0,12999.0
95000.0,12995.0
46555.0,12965.0
46555.0,12965.0
73000.0,12888.0
87792.0,12877.0
113191.0,12599.0
34585.0,12495.0
89518.0,12400.0
101248.0,11995.0
43543.0,11980.0
71274.0,11895.0
60801.0,11250.0
82956.0,10995.0
87509.0,10988.0
78259.0,10850.0
65150.0,10503.0
82000.0,10500.0
112306.0,10004.0
116356.0,9895.0
73368.0,9795.0
143000.0,9500.0
138000.0,9500.0
146000.0,9000.0
99365.0,8980.0
148311.0,8845.0
33430.0,8499.0
99000.0,8499.0
