mileage,price
44411.0,14554.0
104825.0,11988.0
52500.0,13780.0
59657.0,12950.0
59657.0,12950.0
106602.0,8886.0
106602.0,8886.0
62298.0,13995.0
53257.0,15826.0
61666.0,12995.0
89340.0,13000.0
143801.0,8584.0
91573.0,11387.0
83123.0,7799.0
140000.0,10200.0
30000.0,12000.0
165000.0,6500.0
167675.0,6500.0
101250.0,7500.0
40000.0,7450.0
45000.0,14199.0
222559.0,2998.0
96233.0,14989.0
88000.0,13495.0
28093.0,14900.0
53010.0,13990.0
36000.0,13888.0
132500.0,7995.0
277265.0,4990.0
120254.0,9995.0
37174.0,13998.0
33200.0,14995.0
159147.0,5995.0
77043.0,12995.0
103363.0,11798.0
22870.0,15995.0
50709.0,16995.0
98904.0,15995.0
78273.0,12995.0
95385.0,15994.0
46171.0,12995.0
54381.0,13995.0
124000.0,16995.0
105750.0,7988.0
95280.0,9900.0
141000.0,9900.0
58924.0,6595.0
168168.0,15388.0
65440.0,5995.0
71252.0,14798.0
199000.0,10999.0
117000.0,4500.0
147400.0,10900.0
98729.0,8500.0
55000.0,12995.0
82124.0,14995.0
122126.0,9995.0
145000.0,6995.0
89316.0,8800.0
151435.0,13381.0
59844.0,8395.0
100000.0,9999.0
14666.0,9999.0
72085.0,17306.0
69580.0,15421.0
60830.0,13991.0
88152.0,11991.0
70504.0,16222.0
79200.0,16488.0
194995.0,15900.0
68747.0,4750.0
66500.0,11395.0
124629.0,15995.0
114106.0,13999.0
103573.0,10833.0
185000.0,12900.0
54000.0,6400.0
276393.0,17975.0
179789.0,4500.0
70729.0,7844.0
118000.0,14988.0
50653.0,8300.0
81612.0,13999.0
276393.0,14662.0
192600.0,4500.0
89415.0,5600.0
47769.0,13888.0
50986.0,12732.0
84912.0,14995.0
67857.0,11988.0
66940.0,12400.0
223000.0,13995.0
149000.0,5980.0
80408.0,9300.0
32667.0,18588.0
45838.0,14688.0
153000.0,16990.0
40448.0,6800.0
55561.0,14603.0
118000.0,15900.0
88792.0,9000.0
61694.0,10849.0
49979.0,15300.0
30650.0,16484.0
35000.0,10888.0
75921.0,15288.0
107762.0,12998.0
134573.0,10298.0
54348.0,8995.0
64372.0,10998.0
133283.0,13131.0
87475.0,10995.0
